Fecha,PRECIP,EVAP,TMAX,TMIN,DIAS,HOJAS
16/04/2016,0.75,5.65,24.5,6.666666667,1,0
17/04/2016,1.666666667,5.572166667,24.40383333,7.333333333,2,0
18/04/2016,2.633333333,5.666666667,25.66666667,9.333333333,3,0
19/04/2016,0.833333333,4.372166667,24.5,9.732,4,0
20/04/2016,9.5,8.116666667,22.66666667,8.333333333,5,0
21/04/2016,2.583333333,5.216666667,23.83333333,7.333333333,6,0
22/04/2016,2.566666667,5.733333333,24.5,7.166666667,7,0
23/04/2016,2.333333333,5.583333333,25.33333333,8.333333333,8,1
24/04/2016,1.883333333,5.683333333,24,8.565333333,9,1
25/04/2016,3,5.55,24.5,9.732,10,1
26/04/2016,0,4.7555,24.33333333,8.898666667,11,1
27/04/2016,3.283333333,5.266666667,23.66666667,9.565333333,12,2
28/04/2016,2.333333333,5.45,24.16666667,8.565333333,13,2
29/04/2016,0.166666667,6.233333333,24.66666667,9.232,14,2
30/04/2016,1.083333333,5.772166667,26,10.56533333,15,2
01/05/2016,5.466666667,4.794166667,26.33333333,10.232,16,3
02/05/2016,3,5.788833333,25.16666667,9.833333333,17,3
03/05/2016,1.75,5.922166667,25.16666667,10.16666667,18,3
04/05/2016,1.333333333,5.738833333,25.66666667,10,19,3
05/05/2016,4.55,5.788833333,25.16666667,9.833333333,20,4
06/05/2016,0.083333333,3.266666667,23.83333333,9.666666667,21,4
07/05/2016,1.75,5.5555,24,8.833333333,22,4
08/05/2016,7.583333333,5.2555,23.33333333,8,23,4
09/05/2016,3.033333333,6.038833333,24,9.333333333,24,5
10/05/2016,5.75,5.022166667,23.5,10,25,5
11/05/2016,6.833333333,5.888833333,24,9.833333333,26,5
12/05/2016,5.75,6.138833333,23.66666667,9.333333333,27,5
13/05/2016,7.666666667,5.322166667,24,9.666666667,28,6
14/05/2016,1.666666667,5.472166667,22.5,10.16666667,29,6
15/05/2016,3.583333333,5,22.66666667,8.666666667,30,6
16/05/2016,0.333333333,4.238833333,23.33333333,10.16666667,31,6
17/05/2016,3,4.322166667,24.5,10.5,32,7
18/05/2016,11.16666667,6.2555,24.16666667,10,33,7
19/05/2016,3.25,5.372166667,24,9.833333333,34,7
20/05/2016,3.25,5.088833333,25.16666667,9.833333333,35,7
21/05/2016,3.916666667,6.072166667,25.6,10,36,8
22/05/2016,0.583333333,4.938833333,24.5,9.166666667,37,8
23/05/2016,0,5.172166667,25.5,9.666666667,38,8
24/05/2016,1.333333333,4.588833333,24.83333333,9.666666667,39,9
25/05/2016,1.333333333,4.988833333,24.83333333,10.5,40,9
26/05/2016,0.75,6.1055,25.16666667,9.833333333,41,9
27/05/2016,0,5.922166667,26.66666667,9.666666667,42,10
28/05/2016,6.5,5.738833333,25.83333333,8.833333333,43,10
29/05/2016,4.25,5.188833333,25.16666667,9.833333333,44,10
30/05/2016,6.333333333,5.188833333,23.66666667,9.5,45,11
31/05/2016,0.5,5.044333333,22.5,8.5,46,11
01/06/2016,2.666666667,4.233,24.5,9.166666667,47,11
02/06/2016,3.75,5.25,21.83333333,8.964,48,12
03/06/2016,0.833333333,3.983333333,20.83333333,10.5,49,12
04/06/2016,11.58333333,3.466666667,20.83333333,11,50,12
05/06/2016,6.166666667,4.016666667,20.33333333,9.833333333,51,13
06/06/2016,6.583333333,4.983333333,21,10.66666667,52,13
07/06/2016,9.75,4.35,20.5,11,53,13
08/06/2016,12.91666667,4.6,22.5,10.5,54,14
09/06/2016,3,5.783333333,23,8.833333333,55,14
10/06/2016,6.583333333,4.866666667,23.16666667,9.5,56,14
11/06/2016,4.5,5.2,22.33333333,9,57,15
12/06/2016,1.583333333,4.4,22.5,9.166666667,58,15
13/06/2016,23.55,5.9,22.33333333,9.5,59,15
14/06/2016,9.916666667,6.9,20.16666667,10.5,60,16
15/06/2016,4.916666667,3.833333333,20.83333333,11.5,61,16
16/06/2016,0.833333333,3.766666667,21.16666667,11.66666667,62,16
17/06/2016,8.75,4.466666667,22.16666667,10.66666667,63,16
18/06/2016,4.083333333,4.466666667,22,11,64,17
19/06/2016,6.833333333,5.266666667,20.83333333,10,65,17
20/06/2016,1.083333333,4.55,21.83333333,10.16666667,66,17
21/06/2016,5.5,5.7,21.83333333,10,67,18
22/06/2016,0.416666667,3.983333333,22.16666667,9.5,68,18
23/06/2016,12.95,6.1,22.83333333,10.16666667,69,18
24/06/2016,13.16666667,6.05,22.16666667,9.666666667,70,19
25/06/2016,4.166666667,3.616666667,21.33333333,10.33333333,71,19
26/06/2016,1.75,4.1,20.5,11,72,19
27/06/2016,3.333333333,5.133333333,21.16666667,11,73,20
28/06/2016,7.083333333,6.633333333,20,10.33333333,74,20
29/06/2016,4.083333333,5.133333333,19.66666667,9.666666667,75,20
30/06/2016,5.166666667,4.216666667,20.83333333,9,76,21
01/07/2016,19.91666667,4.233,21.16666667,9.333333333,77,21
02/07/2016,9.416666667,4.65,20.83333333,9.166666667,78,21
03/07/2016,12.78333333,6.316666667,20.5,9.166666667,79,22
04/07/2016,3.2,5.85,21.5,9,80,22
05/07/2016,2.333333333,4.266666667,22.66666667,9,81,22
06/07/2016,3,4.75,22.83333333,7.666666667,82,22
07/07/2016,6.75,4.516666667,22.16666667,8.166666667,83,22
08/07/2016,3.783333333,4.85,22.16666667,8.833333333,84,22
09/07/2016,4.5,3.383333333,21.83333333,9.833333333,85,22
10/07/2016,2.583333333,4.25,22.5,9.666666667,86,22
11/07/2016,2.75,6.1,22.33333333,8.666666667,87,23
12/07/2016,18.5,7.983333333,21.66666667,9.666666667,88,23
13/07/2016,7.6,3.166666667,21.66666667,9.166666667,89,23
14/07/2016,2.333333333,5.05,21.83333333,8.666666667,90,23
15/07/2016,0.333333333,4.483333333,21.83333333,9.333333333,91,23
16/07/2016,1.666666667,3.75,23,8,92,23
17/07/2016,7.333333333,4.2,23.16666667,8,93,23
18/07/2016,1.083333333,4.8,21.16666667,9,94,23
19/07/2016,2.25,5.133333333,22.83333333,8.5,95,23
20/07/2016,3.216666667,4.65,22.83333333,8.833333333,96,23
21/07/2016,1.666666667,4.9,22,8.833333333,97,23
22/07/2016,11.5,5.55,23,9.166666667,98,23
23/07/2016,4,5.783333333,22.66666667,8.666666667,99,23
24/07/2016,1.5,5.116666667,23.16666667,8.5,100,23
25/07/2016,3.666666667,3.7,22.66666667,8.5,101,23
26/07/2016,17.58333333,4.133333333,22.16666667,8.5,102,23
27/07/2016,1,4.45,21.66666667,8.166666667,103,23
28/07/2016,2.883333333,4.3,22.33333333,8.5,104,24
29/07/2016,3.166666667,5.35,22.83333333,7.666666667,105,24
30/07/2016,7,6.833333333,22.33333333,6.833333333,106,24
31/07/2016,0.666666667,6.65,23.33333333,8.5,107,24
01/08/2016,0.166666667,4.233,23.5,8.333333333,108,24
02/08/2016,2.533333333,4.9055,23.66666667,7.898666667,109,24
03/08/2016,4.75,4.583333333,22.83333333,8.5,110,24
04/08/2016,6.916666667,4.966666667,22.5,8.833333333,111,24
05/08/2016,7.166666667,4.1,23.66666667,8.5,112,24
06/08/2016,9.083333333,5.916666667,22.66666667,9.833333333,113,24
07/08/2016,8.75,4.45,21.5,10,114,24
08/08/2016,2.666666667,5.283333333,22.16666667,10,115,24
09/08/2016,2.95,5.183333333,23,9.5,116,24
10/08/2016,9.333333333,4.916666667,21.16666667,9,117,24
11/08/2016,8.25,4.683333333,21.16666667,10,118,24
12/08/2016,4.833333333,4.016666667,22.33333333,8.833333333,119,24
13/08/2016,5.583333333,3.816666667,21.83333333,7.666666667,120,24
14/08/2016,1.666666667,4.3,23.5,8,121,24
15/08/2016,3.916666667,4.433333333,23.5,8.166666667,122,24
16/08/2016,3.7,4.816666667,23.16666667,8.333333333,123,24
17/08/2016,0,3.933333333,21.16666667,8.166666667,124,24
18/08/2016,5.5,4.733333333,21.83333333,9,125,24
19/08/2016,9.166666667,5.3,23.33333333,8.5,126,24
20/08/2016,2.633333333,4.6,23.16666667,9,127,24
21/08/2016,7.6,5.833333333,21.33333333,9.333333333,128,24
22/08/2016,2.25,3.366666667,21,8.666666667,129,24
23/08/2016,1,3.95,21.33333333,9.166666667,130,24
24/08/2016,3.266666667,3.983333333,21.83333333,9.666666667,131,24
25/08/2016,0.5,4.416666667,21.16666667,9.166666667,132,24
26/08/2016,0.583333333,3.483333333,22.16666667,9.333333333,133,24
27/08/2016,2.416666667,6.25,23.16666667,9.5,134,24
28/08/2016,3.783333333,3.05,23,9.5,135,24
29/08/2016,10.5,4.016666667,22.5,9.666666667,136,24
30/08/2016,3.833333333,4.966666667,22.66666667,9.333333333,137,24
31/08/2016,9.25,3.938833333,21.83333333,9.333333333,138,24
01/09/2016,4.25,4.422,22.83333333,8.666666667,139,24
02/09/2016,9.583333333,5.016666667,23.16666667,7.833333333,140,24
03/09/2016,6.366666667,4.383333333,22.66666667,9.333333333,141,24
04/09/2016,8.666666667,4.1555,22.23716667,9.833333333,142,24
05/09/2016,21.16666667,7.566666667,21.33333333,9.833333333,143,24
06/09/2016,4.133333333,4.466666667,22.66666667,9.666666667,144,24
07/09/2016,6,3.822166667,20.83333333,9.232,145,24
08/09/2016,5.75,5.766666667,20.83333333,9.333333333,146,24
09/09/2016,4.166666667,4.283333333,21.66666667,8.333333333,147,24
10/09/2016,1.25,3.9,22.83333333,8.333333333,148,24
11/09/2016,1.333333333,3.6,22.33333333,9.666666667,149,24
12/09/2016,0.133333333,2.783333333,21.5,9,150,24
13/09/2016,5,3.772166667,21.5705,9.166666667,151,24
14/09/2016,6.5,3.438833333,19.66666667,9.065333333,152,24
15/09/2016,1,3.133333333,20.33333333,8.833333333,153,24
16/09/2016,11.91666667,3.6,22.16666667,9,154,24
17/09/2016,1,3.4555,20.90383333,10.16666667,155,24
18/09/2016,8.5,3.8055,23.33333333,9.732,156,24
19/09/2016,2.333333333,3.894333333,21.97433333,9.333333333,157,24
20/09/2016,3,3.983333333,23.5,8.5,158,24
21/09/2016,2.916666667,4.0055,23,8.130666667,159,24
22/09/2016,2.083333333,4.116666667,23.33333333,8.666666667,160,24
23/09/2016,2.333333333,4.2,23,9.166666667,161,24
24/09/2016,9.033333333,4.25,22,7.833333333,162,24
25/09/2016,9.466666667,3.988833333,23.0705,8,163,24
26/09/2016,8.5,3.616666667,22.33333333,9.333333333,164,24
27/09/2016,6,3.833333333,22.5,9.666666667,165,24
28/09/2016,15.25,4.65,21.16666667,8.5,166,24
29/09/2016,11.58333333,2.9055,20.5,9.232,167,24
30/09/2016,6.166666667,2.1,18.5,9.833333333,168,24
01/10/2016,5.083333333,4.233,21.30766667,8.166666667,169,24
02/10/2016,9.5,4.816666667,22,8.333333333,170,24
03/10/2016,2.083333333,3.8,20.5,7.5,171,24
04/10/2016,2.25,4.1,20.66666667,7.5,172,24
05/10/2016,1.583333333,3.3,21.33333333,8.666666667,173,24
06/10/2016,2.666666667,3.5,21.66666667,8.333333333,174,24
07/10/2016,0.416666667,5.483333333,22.66666667,7.666666667,175,24
08/10/2016,3.333333333,3.833333333,21.5,6.333333333,176,24
09/10/2016,0.25,3,21,7.5,177,24
10/10/2016,4.916666667,4.016666667,21.83333333,8.833333333,178,24
11/10/2016,11.41666667,4.383333333,21.66666667,8.333333333,179,24
12/10/2016,1.416666667,3.683333333,23,8.666666667,180,24
13/10/2016,1,4.016666667,21.66666667,9.833333333,181,24
14/10/2016,0,3.083333333,22.16666667,8.5,182,24
15/10/2016,0.25,4.033333333,23.83333333,6.5,183,24
16/10/2016,0.333333333,2.766666667,24,7,184,24
17/10/2016,1.416666667,3.65,21.83333333,7.666666667,185,24
18/10/2016,1.75,2.8,19.16666667,8.333333333,186,24
19/10/2016,0.333333333,2.633333333,22,8.333333333,187,24
20/10/2016,0.166666667,2.716666667,21.83333333,8,188,24
21/10/2016,0.166666667,3.166666667,22.33333333,7.666666667,189,24
22/10/2016,0,3.1,21.5,7.5,190,24
23/10/2016,0,3.4,21.16666667,7.5,191,24
24/10/2016,2.833333333,4.033333333,21.5,7.666666667,192,24
25/10/2016,1.583333333,3.916666667,21.33333333,7.833333333,193,24
26/10/2016,2.083333333,3.883333333,21.66666667,6.166666667,194,24
27/10/2016,0.416666667,3.466666667,22.5,6.5,195,24
28/10/2016,0.833333333,3.566666667,22.16666667,7.166666667,196,24
29/10/2016,1.416666667,3.083333333,20.83333333,7.333333333,197,24
30/10/2016,0,2.466666667,21.5,7.333333333,198,24
31/10/2016,4.916666667,2.616666667,21.66666667,7.333333333,199,24
01/11/2016,0.166666667,4.233,20.90383333,7.166666667,200,24
02/11/2016,3.2,3.3555,22.33333333,6.666666667,201,24
,5.583333333,3.866666667,20.33333333,7.333333333,,
,0.083333333,2.7,20.83333333,6.833333333,,
,0,3.15,21.5,5.333333333,,
,1.5,3.7,22.16666667,6.166666667,,
,0,3.283333333,22.83333333,5.333333333,,
,0,4.066666667,24,6.5,,
,0,3.633333333,23.33333333,6.333333333,,
,0.083333333,3.016666667,22,6.166666667,,
,7.333333333,3.816666667,22.33333333,6,,
,1.333333333,3.266666667,22.66666667,6.833333333,,
,0.016666667,3.6,22,5.833333333,,
,4.916666667,3.65,21,5.166666667,,
,1.833333333,2.616666667,21.5,5.5,,
,0,3.588833333,22,6.166666667,,
